City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
49,Waingapu,ID,2021-09-24 07:20:53,-9.6567,120.2641,86.47,51,16,12.24
50,Vaini,TO,2021-09-24 07:17:10,-21.2,-175.2,71.76,100,90,5.75
51,Chapais,CA,2021-09-24 07:20:53,49.7834,-74.8492,55.18,98,100,12.28
52,Nikolskoye,RU,2021-09-24 07:18:15,59.7035,30.7861,46.29,71,100,10.16
53,Jamestown,US,2021-09-24 07:13:43,42.097,-79.2353,54.07,82,90,8.01
54,East London,ZA,2021-09-24 07:16:48,-33.0153,27.9116,68.94,56,0,8.05
55,Lavrentiya,RU,2021-09-24 07:19:06,65.5833,-171.0,32.43,79,99,10.45
56,Mentakab,MY,2021-09-24 07:20:54,3.4865,102.3516,95.07,43,82,1.81
57,Disraeli,CA,2021-09-24 07:20:55,45.9001,-71.3491,69.28,83,28,3.0
58,Ponta Do Sol,PT,2021-09-24 07:17:46,32.6667,-17.1,68.72,62,21,3.85
59,Swan River,CA,2021-09-24 07:20:56,52.1058,-101.2676,46.29,49,96,9.22
60,Upata,VE,2021-09-24 07:20:56,8.0086,-62.3989,71.2,90,28,3.0
61,Bambous Virieux,MU,2021-09-24 07:18:41,-20.3428,57.7575,77.25,73,40,13.8
62,Ngong,KE,2021-09-24 07:20:57,-1.3618,36.6566,63.79,65,100,5.97
63,Leningradskiy,RU,2021-09-24 07:20:58,69.3833,178.4167,25.36,92,99,14.81
64,Mananjary,MG,2021-09-24 07:20:58,-21.2167,48.3333,75.65,62,23,4.03
65,Stendal,DE,2021-09-24 07:20:58,52.6,11.85,57.34,59,92,13.82
66,Poum,NC,2021-09-24 07:18:17,-20.2333,164.0167,71.17,63,100,7.47
67,Cosmopolis,BR,2021-09-24 07:20:59,-22.6458,-47.1961,58.08,78,11,2.71
68,New Norfolk,AU,2021-09-24 07:16:45,-42.7826,147.0587,42.3,71,17,4.0
69,Agadez,NE,2021-09-24 07:20:59,19.75,10.25,83.52,12,6,13.0
70,Bethel,US,2021-09-24 07:12:36,41.3712,-73.414,73.08,95,90,0.0
71,Mar Del Plata,AR,2021-09-24 07:16:46,-38.0023,-57.5575,41.02,100,1,0.0
72,Ketchikan,US,2021-09-24 07:21:00,55.3422,-131.6461,55.38,98,100,10.38
73,Hithadhoo,MV,2021-09-24 07:17:23,-0.6,73.0833,78.46,80,100,13.09
74,Cabo San Lucas,MX,2021-09-24 07:17:07,22.8909,-109.9124,81.61,80,13,5.01
75,Saldanha,ZA,2021-09-24 07:18:12,-33.0117,17.9442,55.45,84,8,1.32
76,Bontang,ID,2021-09-24 07:19:27,0.1333,117.5,85.05,70,30,4.36
77,Bonfim,BR,2021-09-24 07:21:02,3.0833,-59.95,76.1,82,100,3.13
78,Walvis Bay,NA,2021-09-24 07:21:02,-22.9575,14.5053,52.75,100,90,9.22
79,Severo-Kurilsk,RU,2021-09-24 07:17:42,50.6789,156.125,48.79,94,100,23.11
80,Atuona,PF,2021-09-24 07:16:50,-9.8,-139.0333,78.1,73,66,19.84
81,Airai,TL,2021-09-24 07:17:40,-8.9266,125.4092,71.67,52,100,2.15
82,Torbay,CA,2021-09-24 07:15:07,47.6666,-52.7314,51.28,93,100,3.0
83,Inhambane,MZ,2021-09-24 07:18:50,-23.865,35.3833,76.98,53,20,5.75
84,Kupang,ID,2021-09-24 07:21:03,-10.1667,123.5833,86.58,54,20,5.75
85,Barrow,US,2021-09-24 07:17:50,71.2906,-156.7887,30.22,86,90,0.0
86,Plettenberg Bay,ZA,2021-09-24 07:21:04,-34.0527,23.3716,63.57,58,64,5.53
87,Krasnoselkup,RU,2021-09-24 07:21:04,65.7,82.4667,41.34,59,21,17.47
88,Tura,IN,2021-09-24 07:21:05,25.5198,90.2201,89.1,59,12,3.47
89,Najran,SA,2021-09-24 07:21:05,17.4924,44.1277,92.05,13,75,3.85
90,Santa Isabel Do Rio Negro,BR,2021-09-24 07:19:31,-0.4139,-65.0192,71.17,98,100,0.94
91,Maningrida,AU,2021-09-24 07:21:06,-12.0667,134.2667,83.23,57,5,13.49
92,Hami,CN,2021-09-24 07:21:06,42.8,93.45,81.07,12,6,1.48
93,Atasu,KZ,2021-09-24 07:16:36,48.6814,71.6433,52.05,28,0,12.28
94,Alice Springs,AU,2021-09-24 07:18:36,-23.7,133.8833,81.95,7,0,9.22
95,New Albany,US,2021-09-24 07:21:07,38.2856,-85.8241,53.46,88,1,0.0
96,Anadyr,RU,2021-09-24 07:21:07,64.75,177.4833,28.9,93,75,6.71
97,Pakdasht,IR,2021-09-24 07:21:08,35.4752,51.6807,87.8,10,0,2.37
98,Sebeta,ET,2021-09-24 07:21:08,8.9167,38.6167,64.44,70,40,4.34
99,Tezu,IN,2021-09-24 07:21:08,27.9167,96.1667,94.03,46,9,3.65
100,Noumea,NC,2021-09-24 07:21:09,-22.2763,166.4572,67.98,66,100,15.37
101,Dolores,AR,2021-09-24 07:21:09,-36.3132,-57.6792,48.27,95,4,2.06
102,Klaksvik,FO,2021-09-24 07:21:09,62.2266,-6.589,50.92,84,99,34.52
103,Chokurdakh,RU,2021-09-24 07:17:05,70.6333,147.9167,33.4,98,100,7.7
104,Ribeira Grande,PT,2021-09-24 07:17:14,38.5167,-28.7,68.4,77,40,6.91
105,Petropavl,KZ,2021-09-24 07:21:10,54.8753,69.1628,49.98,53,40,8.95
106,Allentown,US,2021-09-24 07:18:57,40.6084,-75.4902,59.81,92,40,0.0
107,Lanxi,CN,2021-09-24 07:21:11,29.2195,119.477,89.35,47,62,7.9
108,Port Augusta,AU,2021-09-24 07:18:00,-32.5,137.7667,70.7,62,5,22.64
109,Iqaluit,CA,2021-09-24 07:18:17,63.7506,-68.5145,29.93,93,90,14.97
