City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
398,Emerald,AU,82.98,overcast clouds,-23.5333,148.1667,The Irish Village
399,Makakilo City,US,82.72,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
400,Noumea,NC,82.0,few clouds,-22.2763,166.4572,Hôtel Le Lagon
401,Muroto,JP,82.44,few clouds,33.2833,134.15,Oota Ryokan
404,Marrakesh,MA,78.87,scattered clouds,31.6315,-8.0083,Novotel Marrakech Hivernage
407,Bowen,AU,79.02,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
408,Shingu,JP,77.99,overcast clouds,33.7333,135.9833,Shingu UI Hotel
411,Dutse,NG,76.71,scattered clouds,11.7594,9.3392,Central Mosque Galamawa
412,Puerto Pailas,BO,85.12,clear sky,-17.667,-62.7909,Mary luz
415,Sabang,ID,79.63,overcast clouds,5.8933,95.3214,Hotel Citra
416,Picota,PE,79.29,light rain,-6.9197,-76.3304,Hospedaje Vanessa
421,Cururupu,BR,75.0,light rain,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
424,Boyolangu,ID,81.18,light rain,-8.1181,111.8935,Yos ega cv
427,Shenjiamen,CN,75.88,clear sky,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
429,Gizo,SB,84.52,overcast clouds,-8.103,156.8419,Imagination Island
430,Hays,US,80.02,very heavy rain,30.0502,-98.0336,Sinya on Lone Man Creek
431,Nhulunbuy,AU,86.61,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
439,Pascagoula,US,77.05,few clouds,30.3658,-88.5561,Regency Inn
440,Savannah Bight,HN,84.0,clear sky,16.45,-85.85,Villa on Dunbar Rock
441,Sao Jose Da Coroa Grande,BR,75.34,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
443,Praia,CV,79.34,broken clouds,14.9215,-23.5087,LT Aparthotel
445,Boueni,YT,75.18,light rain,-12.9025,45.0761,The feet in water
447,Nambucca Heads,AU,75.2,overcast clouds,-30.65,153.0,Marcel Towers Holiday Apartments
449,Iquitos,PE,78.84,light rain,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
456,Lodwar,KE,80.65,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
462,Marang,MY,80.51,overcast clouds,5.2056,103.2059,DBarakah Homestay
469,Ishigaki,JP,86.13,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
471,Tabou,CI,76.6,light rain,4.423,-7.3528,hotêl doufoulougou
480,Isangel,VU,78.91,light rain,-19.55,169.2667,Tanna Lodge
485,Weligama,LK,78.69,light rain,5.9667,80.4167,Weligama Bay Resort
487,Mackay,AU,83.68,broken clouds,-21.15,149.2,International Lodge Motel
489,Voh,NC,82.71,light rain,-20.9667,164.7,Le gîte du Koniambo
490,Mareeba,AU,80.47,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
491,Kavaratti,IN,81.61,light rain,10.5669,72.642,Hotels in Lakshadweep Islands
494,Naze,JP,79.72,light rain,28.3667,129.4833,オーベルジュ・アガルイ
496,Acarau,BR,78.44,broken clouds,-2.8856,-40.12,castelo pizzaria
497,Bubaque,GW,83.07,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
